EZU;iShares MSCI Eurozone
EWG;iShares MSCI Germany
IEV;iShares Europe
EWU;iShares MSCI United Kingdom
HEZU;iShares Currency Hedged MSCI Eurozone
EWL;iShares MSCI Switzerland Capped
IEUR;iShares Core MSCI Europe
EWP;iShares MSCI Spain Capped
HEWG;iShares Currency Hedged MSCI Germany
EWI;iShares MSCI Italy Capped
TUR;iShares MSCI Turkey
EUFN;iShares MSCI Europe Financials
EWQ;iShares MSCI France
ERUS;iShares MSCI Russia Capped
EWD;iShares MSCI Sweden
EWN;iShares MSCI Netherlands
EPOL;iShares MSCI Poland Capped
EWK;iShares MSCI Belgium Capped
EIRL;iShares MSCI Ireland Capped
EIS;iShares MSCI Israel Capped
IFEU;iShares Europe Developed Real Estate
HEWU;iShares Currency Hedged MSCI United Kingdom
EWO;iShares MSCI Austria Capped
IEUS;iShares MSCI Europe Small-Cap
EDEN;iShares MSCI Denmark Capped
EUMV;iShares Edge MSCI Min Vol Europe
EFNL;iShares MSCI Finland Capped
ENOR;iShares MSCI Norway Capped
EWUS;iShares MSCI United Kingdom Small-Cap
EWGS;iShares MSCI Germany Small-Cap
HEWP;iShares Currency Hedged MSCI Spain
HEWI;iShares Currency Hedged MSCI Italy
HEWL;iShares Currency Hedged MSCI Switzerland
HEUV;iShares Edge MSCI Min Vol Europe Currency Hedged
DEZU;iShares Adaptive Currency Hedged MSCI Eurozone
HEUS;iShares Currency Hedged MSCI Europe Small-Cap
