XITK;SPDR FactSet Innovative Technology
MTK;SPDR Morgan Stanley Technology
XAR;SPDR S&P Aerospace & Defense
KBE;SPDR S&P Bank
XBI;SPDR S&P Biotech
KCE;SPDR S&P Capital Markets
XHE;SPDR S&P Health Care Equipment
XHS;SPDR S&P Health Care Services
XHB;SPDR S&P Homebuilders
KIE;SPDR S&P Insurance
XWEB;SPDR S&P Internet
XME;SPDR S&P Metals and Mining
XES;SPDR S&P Oil & Gas Equipment & Services
XOP;SPDR S&P Oil & Gas Exploration & Production
XPH;SPDR S&P Pharmaceuticals
KRE;SPDR S&P Regional Banking
XRT;SPDR S&P Retail
XSD;SPDR S&P Semiconductor
XSW;SPDR S&P Software & Services
XTH;SPDR S&P Technology Hardware
XTL;SPDR S&P Telecom
XTN;SPDR S&P Transportation
